,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
144,Matt Bonner,2005.0,Florida,C,15.2,6.1,1.5,1.1,0.6,1.6,7.2,3.5,0.6,0.5,0.2,0.5
145,Mo Williams,2004.0,Alabama,SG,16.4,3.9,3.9,1.2,0.2,3.0,5.0,1.3,1.3,0.5,0.0,0.9
146,James Jones,2004.0,Miami (FL),SF,16.9,6.0,1.8,1.6,1.8,2.5,1.2,0.3,0.0,0.2,0.0,0.0
147,Kyle Korver,2004.0,Creighton,SF,17.8,6.4,3.1,1.5,0.7,2.0,4.5,1.5,0.5,0.3,0.1,0.6
150,Brandon Hunter,2004.0,Ohio,PF,21.5,12.6,2.6,0.8,1.2,3.6,3.5,3.3,0.5,0.4,0.0,0.6
151,Emeka Okafor,2005.0,UConn,PF,17.6,11.5,1.0,1.0,4.1,2.3,15.1,10.9,0.9,0.8,1.7,1.7
152,Ben Gordon,2005.0,UConn,SG,18.5,4.7,4.5,1.4,0.2,2.8,15.1,2.6,2.0,0.6,0.1,2.3
153,Devin Harris,2005.0,Wisconsin,PG,19.5,4.3,4.4,1.8,0.1,2.1,5.7,1.3,2.2,1.0,0.3,1.1
154,Josh Childress,2005.0,Stanford,SG,15.7,7.5,2.7,0.9,1.6,2.2,10.1,6.0,1.9,0.9,0.4,1.3
155,Luol Deng,2005.0,Duke,SF,15.1,6.9,1.8,1.3,1.1,2.2,11.7,5.3,2.2,0.8,0.4,1.9
156,Andre Iguodala,2005.0,Arizona,SG,12.9,8.4,4.9,1.6,0.4,2.8,9.0,5.7,3.0,1.7,0.6,1.7
157,Luke Jackson,2005.0,Oregon,SF,21.2,7.2,4.5,1.3,0.2,3.0,2.9,0.6,0.3,0.0,0.0,0.2
158,Kris Humphries,2005.0,Minnesota,PF,21.7,10.1,0.7,0.9,1.1,2.8,4.1,2.9,0.6,0.4,0.3,0.8
159,Kirk Snyder,2005.0,Nevada,SG,18.8,5.7,3.4,1.0,0.6,3.5,5.0,1.8,0.5,0.4,0.3,0.9
160,Jameer Nelson,2005.0,St. Joseph's,PG,20.6,4.7,5.3,2.8,0.0,2.8,8.7,2.4,3.0,1.0,0.0,1.5
161,Delonte West,2005.0,St. Joseph's,SG,18.9,5.4,4.7,1.7,0.2,2.6,4.5,1.7,1.4,0.5,0.2,0.6
162,Tony Allen,2005.0,Oklahoma State,SG,16.0,5.5,3.1,2.1,0.9,2.8,6.4,2.9,0.8,1.0,0.3,1.0
163,Kevin Martin,2005.0,Western Carolina,PG,24.9,4.8,1.7,1.9,0.3,3.1,2.9,1.3,0.5,0.4,0.1,0.5
164,David Harrison,2005.0,Colorado,C,17.1,8.8,0.9,0.6,2.9,2.7,6.1,3.1,0.3,0.4,1.3,1.2
165,Jackson Vroman,2005.0,Iowa State,C-PF,13.9,9.6,2.3,1.4,0.7,3.2,4.6,3.8,0.9,0.5,0.4,1.4
166,Lionel Chalmers,2005.0,Xavier,PG,16.6,3.3,3.2,1.1,0.0,2.8,3.1,0.9,1.4,0.4,0.0,0.7
167,Andre Emmett,2005.0,Texas Tech,SG,20.6,6.6,1.8,1.3,0.3,2.1,0.9,0.3,0.0,0.0,0.0,0.1
168,Antonio Burks,2005.0,Memphis,PG,16.0,3.2,5.5,2.4,0.2,2.5,3.0,0.5,1.2,0.5,0.0,0.5
169,Royal Ivey,2005.0,Texas,PG,9.4,4.0,4.3,1.2,0.2,1.5,3.5,1.4,1.7,0.6,0.1,0.9
170,Chris Duhon,2005.0,Duke,PG,10.0,4.1,6.1,2.2,0.2,2.8,5.9,2.6,4.9,1.0,0.0,1.5
171,Justin Reed,2005.0,Ole Miss,SF,18.5,7.5,1.5,0.7,0.8,3.0,1.8,0.7,0.4,0.1,0.0,0.2
172,Trevor Ariza,2005.0,UCLA,SF,11.6,6.5,2.1,1.7,0.4,3.2,5.9,3.0,1.1,0.9,0.2,0.9
174,Bernard Robinson,2005.0,Michigan,SG,12.1,5.7,3.8,1.9,0.3,2.7,3.0,1.5,1.0,0.4,0.1,0.6
175,Pape Sow,2005.0,Cal State Fullerton,C,17.3,9.7,0.9,1.6,0.6,3.0,2.3,2.1,0.1,0.4,0.1,0.4
179,Matt Freije,2005.0,Vanderbilt,PF,18.4,5.4,0.9,0.7,0.6,1.0,4.0,2.7,0.9,0.6,0.1,0.7
181,Luis Flores,2005.0,Manhattan,PG,24.0,3.9,1.6,1.9,0.1,2.4,2.2,0.2,0.7,0.1,0.0,0.7
185,Andrew Bogut,2006.0,Utah,PF,20.4,12.2,2.3,1.0,1.9,2.7,9.4,7.0,2.3,0.6,0.8,1.5
186,Marvin Williams,2006.0,UNC,PF,11.3,6.6,0.7,1.1,0.5,1.6,8.5,4.8,0.8,0.6,0.3,1.1
187,Deron Williams,2006.0,Illinois,PG,12.5,3.6,6.8,1.0,0.2,2.8,10.8,2.4,4.5,0.8,0.2,1.8
188,Chris Paul,2006.0,Wake Forest,PG,15.3,4.5,6.6,2.4,0.0,2.8,16.1,5.1,7.8,2.2,0.1,2.3
