,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
504,Draymond Green,2013.0,Michigan State,37,33.2,5.7,12.8,.449,4.3,9.1,.473,1.4,3.6,.388,3.4,4.7,.723,16.2,10.6,3.8,1.5,0.9,3.0,2.8,GSW,2.9,3.3,0.7,0.5,0.3,0.6,35,SF
505,Orlando Johnson,2013.0,UCSB,31,34.4,6.7,14.8,.451,4.4,9.5,.464,2.3,5.3,.427,4.1,5.9,.698,19.7,5.8,2.9,1.1,0.7,2.5,1.8,IND,4.0,2.2,0.9,0.2,0.2,0.6,36,SG
506,Quincy Acy,2013.0,Baylor,38,29.7,4.2,7.2,.577,4.1,7.1,.576,0.1,0.1,.600,3.6,4.6,.782,12.0,7.4,1.0,0.9,1.8,1.9,3.1,TOR,4.0,2.7,0.4,0.4,0.5,0.6,37,PF
507,Quincy Miller,2013.0,Baylor,37,24.4,3.7,8.4,.447,3.1,6.5,.475,0.6,1.9,.348,2.5,3.1,.816,10.6,4.9,1.4,0.7,0.6,1.8,1.9,DEN,1.3,0.3,0.4,0.1,0.0,0.1,38,PF
508,Khris Middleton,2013.0,Texas A&M,20,28.8,5.1,12.3,.415,4.1,8.5,.485,1.0,3.9,.260,2.0,2.6,.750,13.2,5.0,2.3,1.0,0.3,2.2,1.9,DET,6.1,1.9,1.0,0.6,0.1,0.4,39,SG
509,Will Barton,2013.0,Memphis,35,35.3,6.6,12.9,.509,5.5,9.9,.559,1.1,3.1,.346,3.8,5.1,.749,18.0,8.0,2.9,1.4,0.7,2.1,2.1,POR,4.0,2.0,0.8,0.5,0.1,0.8,40,SG
510,Tyshawn Taylor,2013.0,Kansas,39,33.4,5.8,12.2,.477,4.3,8.3,.522,1.5,3.9,.382,3.5,5.1,.688,16.6,2.3,4.8,1.3,0.2,3.5,2.0,BRK,2.2,0.5,0.6,0.3,0.0,0.7,41,PG
511,Doron Lamb,2013.0,Kentucky,40,31.2,4.4,9.2,.474,2.5,5.2,.481,1.9,4.1,.466,3.1,3.7,.826,13.7,2.7,1.5,0.5,0.1,1.1,1.8,TOT,3.3,1.0,0.7,0.3,0.0,0.6,42,SG
512,Kim English,2013.0,Missouri,35,33.6,4.9,9.4,.521,2.7,4.5,.589,2.2,4.9,.459,2.5,3.4,.725,14.5,4.2,1.6,1.3,0.3,1.7,2.4,DET,2.9,0.9,0.6,0.4,0.1,0.5,44,SG
513,Darius Miller,2013.0,Kentucky,40,26.1,3.6,7.6,.474,2.2,3.8,.569,1.4,3.7,.376,1.4,1.7,.797,9.9,2.8,2.1,0.8,0.3,1.5,2.2,NOH,2.3,1.5,0.8,0.3,0.2,0.4,46,SF
514,Kevin Murphy,2013.0,Tennessee Tech,33,34.5,7.2,16.3,.444,4.8,10.5,.460,2.4,5.8,.416,3.8,5.2,.721,20.6,5.2,2.3,0.8,0.2,3.3,2.2,UTA,0.9,0.2,0.1,0.1,0.0,0.2,47,SG
515,Kris Joseph,2013.0,Syracuse,37,32.2,4.4,10.5,.421,3.1,6.5,.467,1.4,4.0,.345,3.2,4.2,.745,13.4,4.7,1.5,1.4,0.6,1.5,1.7,TOT,0.9,0.7,0.1,0.3,0.0,0.2,51,SF
516,Darius Johnson-Odom,2013.0,Marquette,34,32.9,6.2,13.8,.447,3.9,7.9,.493,2.3,5.9,.385,3.7,4.9,.764,18.3,3.5,2.7,0.9,0.1,2.4,2.0,LAL,0.0,1.0,0.3,0.0,0.0,0.0,55,SG
517,Robbie Hummel,2014.0,Purdue,35,32.2,5.5,13.3,.417,3.5,7.9,.440,2.1,5.4,.383,3.2,3.9,.825,16.4,7.2,1.9,0.7,1.2,0.9,2.1,MIN,3.4,2.5,0.4,0.3,0.0,0.2,58,SF
519,Robert Sacre,2013.0,Gonzaga,33,26.3,3.5,6.9,.511,3.5,6.9,.515,0.0,0.1,.000,4.5,6.0,.761,11.6,6.3,0.7,0.4,1.4,1.8,2.2,LAL,1.3,1.1,0.2,0.0,0.3,0.3,60,C
