,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
58,Trenton Hassell,2002,Austin Peay,32,37.9,7.7,15.8,0.485,6,11.6,0.52,1.7,4.3,0.39,4.6,5.8,0.796,21.7,7.8,4.5,1.2,0.5,3.8,2.1,CHI,8.7,3.3,2.2,0.7,0.6,1.3,29,SG
59,Gilbert Arenas,2002,Arizona,36,29,5.8,12.1,0.479,3.9,7.4,0.519,1.9,4.6,0.416,2.7,3.7,0.724,16.2,3.6,2.3,1.8,0.2,2.8,2.3,GSW,10.9,2.8,3.7,1.5,0.2,2.1,30,PG
60,Omar Cook,2004,St. John's (NY),29,38.2,4.9,13.5,0.36,2.5,5.9,0.424,2.3,7.6,0.309,3.3,4.4,0.742,15.3,3,8.7,2.3,0.2,5.1,2.8,POR,0.8,0.4,1.4,0.6,0,0.6,31,PG
61,Will Solomon,2002,Clemson,30,33.3,6.1,15.4,0.397,2.9,7,0.421,3.2,8.4,0.377,4.3,5.5,0.788,19.7,2.9,3.4,1.4,0.3,4.1,2.4,MEM,5.2,1.1,1.5,0.6,0.1,1,32,SG
62,Terence Morris,2002,Maryland,36,27.6,4.4,10.2,0.432,3.7,7.7,0.478,0.7,2.5,0.289,2.7,3.4,0.795,12.2,7.7,1.9,0.9,2.2,1.8,2.6,HOU,3.8,3.1,0.9,0.3,0.4,0.7,33,SF
63,Brian Scalabrine,2002,USC,34,32.8,5.1,10.6,0.478,4.5,8.7,0.517,0.6,1.9,0.303,3.9,4.9,0.801,14.7,5.9,2.8,0.9,0.9,3.1,2.6,NJN,2.1,1.8,0.8,0.3,0.1,0.9,34,PF
64,Jeff Trepagnier,2002,USC,21,29.6,3.4,7.6,0.453,3,6,0.512,0.4,1.6,0.235,1.8,2.9,0.607,9,5.1,1.6,1.5,1,1.9,2.7,CLE,1.5,1,1,0.7,0.3,0.9,35,SG
65,Damone Brown,2002,Syracuse,34,36.5,6.3,12.9,0.492,6.2,12.4,0.499,0.1,0.4,0.286,3.7,4.6,0.791,16.4,8.8,1.6,1.7,1.4,2,2.7,PHI,1.4,0.2,0.1,0.1,0.1,0.5,36,SF
67,Earl Watson,2002,UCLA,32,34.8,5.4,10.9,0.493,4.2,7.5,0.556,1.2,3.4,0.352,2.8,4.4,0.636,14.7,3.7,5.2,1.9,0.3,3.4,3.1,SEA,3.6,1.3,2,0.9,0.1,0.8,39,PG
68,Jamison Brewer,2002,Auburn,32,32.3,3,6.5,0.469,2.7,5.1,0.534,0.3,1.4,0.227,2,3.8,0.529,8.4,7.2,5.8,1.5,0.1,2.9,1.5,IND,0.3,0.6,0.7,0.2,0,0.2,40,SG
69,Bobby Simmons,2002,DePaul,29,33.8,5.1,11.5,0.447,3,5.8,0.524,2.1,5.7,0.37,4.3,5.3,0.8,16.7,8.6,2.5,0.8,0.1,2.1,3.3,WAS,3.7,1.7,0.6,0.4,0.2,0.5,41,SF
